to_station_name,count
Hoyne Ave & Balmoral Ave,296
Lake Park Ave & 35th St,295
Woodlawn Ave & Lake Park Ave,293
Wentworth Ave & 33rd St,285
Kimball Ave & Belmont Ave,282
California Ave & Division St,276
Halsted St & 21st St,275
Leavitt St & Addison St,270
Clark St & Schreiber Ave,268
Cherry Ave & Blackhawk St,268
Central Park Ave & Elbridge Ave,265
Prairie Ave & Garfield Blvd,264
Malcolm X College,264
Cottage Grove Ave & 47th St,263
Western Ave & 21st St,261
Glenwood Ave & Touhy Ave,257
Central Park Ave & Bloomingdale Ave,255
Normal Ave & Archer Ave,249
Clark St & Columbia Ave,247
Cottage Grove Ave & 43rd St,246
Western Ave & Granville Ave,233
Francisco Ave & Foster Ave,231
Christiana Ave & Lawrence Ave,231
Racine Ave & 13th St,231
Shields Ave & 28th Pl,229
Smith Park (*),226
Central St & Girard Ave,226
Western Ave & Lunt Ave,224
Wentworth Ave & 35th St,223
Halsted St & 35th St,222
Central Park Ave & North Ave,221
Sheridan Rd & Greenleaf Ave,220
California Ave & 21st St,218
Kedzie Ave & Foster Ave,217
Kedzie Ave & Leland Ave,217
Wallace St & 35th St,212
Ogden Ave & Roosevelt Rd,208
Drake Ave & Montrose Ave,206
Lincolnwood Dr & Central St,202
Manor Ave & Leland Ave,200
Monticello Ave & Irving Park Rd,199
Albany Ave & Montrose Ave,198
Troy St & North Ave,195
Ogden Ave & Congress Pkwy,191
Spaulding Ave & Division St,187
Pulaski Rd & Eddy St (Temp),184
Elmwood Ave & Austin St,183
Warren Park West,181
California Ave & Byron St,180
Dodge Ave & Church St,179
Calumet Ave & 35th St,178
California Ave & 23rd Pl,177
Western Ave & Howard St,177
Avers Ave & Belmont Ave,173
Racine Ave & 35th St,172
Warren Park East,172
South Shore Dr & 71st St,169
Conservatory Dr & Lake St,168
Kedzie Ave & Lake St,166
Cottage Grove Ave & 51st St,166
Sawyer Ave & Irving Park Rd,164
Kilbourn Ave & Milwaukee Ave,160
Rhodes Ave & 32nd St,160
Prairie Ave & 43rd St,157
Dorchester Ave & 49th St,154
Kedzie Ave & Chicago Ave,153
St. Louis Ave & Balmoral Ave,147
Sacramento Blvd & Franklin Blvd,142
Keystone Ave & Fullerton Ave,139
MLK Jr Dr & Pershing Rd,138
Bernard St & Elston Ave,136
Washtenaw Ave & Ogden Ave,134
Calumet Ave & 51st St,132
Halsted St & 37th St,130
California Ave & Lake St,129
Keystone Ave & Montrose Ave,129
63rd St Beach,127
Ashland Ave & Archer Ave,127
Archer (Damen) Ave & 37th St,127
Valli Produce - Evanston Plaza,125
DuSable Museum,124
Princeton Ave & Garfield Blvd,124
Kedzie Ave & Bryn Mawr Ave,124
Clark St & Jarvis Ave,121
Cottage Grove Ave & Oakwood Blvd,120
State St & 29th St,118
2112 W Peterson Ave,118
Ridge Blvd & Touhy Ave,116
Knox Ave & Montrose Ave,114
Kildare Ave & Montrose Ave,113
Cottage Grove Ave & 63rd St,111
Clark St & Touhy Ave,98
Evanston Civic Center,95
Ashland Ave & McDowell Ave,94
Dorchester Ave & 63rd St,94
Ridge Blvd & Howard St,94
Stony Island Ave & 71st St,92
Leavitt St & Archer Ave,88
Bosworth Ave & Howard St,85
Oakley Ave & Touhy Ave,80
Milwaukee Ave & Cuyler Ave,79
Indiana Ave & 40th St,77
Western Ave & 24th St,75
South Shore Dr & 67th St,75
Austin Blvd & Lake St,72
Kilbourn Ave & Irving Park Rd,70
Ashland Ave & Pershing Rd,69
Maplewood Ave & Peterson Ave,67
Wolcott Ave & Fargo Ave,65
Budlong Woods Library,64
Wood St & 35th St,63
Ashland Ave & Garfield Blvd,63
Racine Ave & Garfield Blvd,61
Kedzie Ave & 21st St,60
MLK Jr Dr & 47th St,54
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),53
Dodge Ave & Mulford St,48
State St & 79th St,47
Hoyne Ave & 47th St,47
Damen Ave & Coulter St,47
Stony Island Ave & 67th St,46
Fairfield Ave & Roosevelt Rd,45
Central Ave & Chicago Ave,42
Western Blvd & 48th Pl,41
Halsted St & 47th Pl,41
Jeffery Blvd & 71st St,41
Kedzie Ave & Harrison St,40
Cottage Grove Ave & 67th St,39
Jeffery Blvd & 67th St,39
Albany Ave & 26th St,37
Vernon Ave & 75th St,36
California Ave & 26th St,35
Princeton Ave & 47th St,35
Kedzie Ave & Roosevelt Rd,34
Millard Ave & 26th St,34
Cornell Dr & Hayes Dr,34
Stony Island Ave & 75th St,33
Austin Blvd & Chicago Ave,33
South Shore Dr & 74th St,32
State St & Pershing Rd,32
MLK Jr Dr & 63rd St,31
Greenwood Ave & 79th St,31
Halsted St & 69th St,31
Wentworth Ave & 63rd St,30
Union Ave & Root St,28
Central Park Ave & Ogden Ave,27
MLK Jr Dr & 56th St,26
MLK Jr Dr & 83rd St,26
Ashland Ave & 50th St,26
Austin Blvd & Madison St,25
Pulaski Rd & Congress Pkwy,24
Stony Island Ave & 64th St,24
Eberhart Ave & 61st St,24
Central Ave & Lake St,24
Central Park Blvd & 5th Ave,24
Central Ave & Madison St,22
Commercial Ave & 83rd St,22
Wabash Ave & 87th St,21
Elizabeth St & 47th St,21
Yates Blvd & 75th St,20
Evans Ave & 75th St,20
Morgan St & Pershing Rd,20
Damen Ave & Pershing Rd,19
State St & 54th St,19
Karlov Ave & Madison St,18
Laramie Ave & Madison St,17
Western Ave & 28th St,17
Rainbow Beach,16
Phillips Ave & 83rd St,16
Pulaski Rd & Lake St,16
Halsted St & 63rd St,15
Laramie Ave & Kinzie St,14
Central Park Ave & 24th St,13
Cicero Ave & Quincy St,13
Rhodes Ave & 71st St,12
Kostner Ave & Adams St,12
Cottage Grove Ave & 71st St,12
Cicero Ave & Lake St,12
Ashland Ave & 69th St,12
Vernon Ave & 79th St,11
Jeffery Blvd & 76th St,11
Marshfield Ave & 44th St,11
Kedzie Ave & 24th St,11
Cottage Grove Ave & 83rd St,11
Exchange Ave & 79th St,10
